CityName , CityCode , DistrictName , ZipCode
  Adana ,   1 ,   Aladağ ,   1720 ,
  Adana ,   1 ,   Ceyhan ,   1920 ,
  Adana ,   1 ,   Ceyhan ,   1930 ,
  Adana ,   1 ,   Ceyhan ,   1940 ,
  Adana ,   1 ,   Ceyhan ,   1950 ,
  Adana ,   1 ,   Ceyhan ,   1960 ,
  Adana ,   1 ,   Çukurova ,   1170 ,
  Adana ,   1 ,   Çukurova ,   1360 ,
  Adana ,   1 ,   Çukurova ,   1780 ,
  Adana ,   1 ,   Feke ,   1660 ,
  Adana ,   1 ,   İmamoğlu ,   1700 ,
  Adana ,   1 ,   Karaisalı ,   1770 ,
  Adana ,   1 ,   Karataş ,   1900 ,
  Adana ,   1 ,   Kozan ,   1500 ,
  Adana ,   1 ,   Kozan ,   1510 ,
  Adana ,   1 ,   Kozan ,   1530 ,
  Adana ,   1 ,   Kozan ,   1542 ,
  Adana ,   1 ,   Kozan ,   1555 ,
  Adana ,   1 ,   Pozantı ,   1470 ,
  Adana ,   1 ,   Pozantı ,   1490 ,
  Adana ,   1 ,   Saimbeyli ,   01740 ,
  Adana ,   1 ,   Sarıçam ,   01330 ,
  Adana ,   1 ,   Sarıçam ,   01340 ,
  Adana ,   1 ,   Sarıçam ,   01400 ,
  Adana ,   1 ,   Sarıçam ,   01410 ,
  Adana ,   1 ,   Sarıçam ,   01460 ,
  Adana ,   1 ,   Sarıçam ,   01790 ,
  Adana ,   1 ,   Seyhan ,   01010 ,
  Adana ,   1 ,   Seyhan ,   01020 ,
  Adana ,   1 ,   Seyhan ,   01030 ,
  Adana ,   1 ,   Seyhan ,   01040 ,
